DEBUG 2021-09-04 00:41:15,717 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:17,057 - https://hentai2read.com:443 "GET /hentai-list/all/any/all/early-added/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:17,087 - Receive response from https://hentai2read.com/hentai-list/all/any/all/early-added/ with status code is 200. Generating soup
DEBUG 2021-09-04 00:41:17,364 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:18,714 - https://hentai2read.com:443 "GET /hentai-list/all/any/all/early-added/1 HTTP/1.1" 200 None
INFO 2021-09-04 00:41:18,747 - Receive response from https://hentai2read.com/hentai-list/all/any/all/early-added/1 with status code is 200. Generating soup
DEBUG 2021-09-04 00:41:19,019 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:19,570 - https://hentai2read.com:443 "GET /an_angel_duty/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:19,571 - Receive response from https://hentai2read.com/an_angel_duty/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:19,649 - Generate manga information
DEBUG 2021-09-04 00:41:19,651 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:20,188 - https://hentai2read.com:443 "GET /blue_eyes/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:20,189 - Receive response from https://hentai2read.com/blue_eyes/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:20,278 - Generate manga information
DEBUG 2021-09-04 00:41:20,279 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:20,817 - https://hentai2read.com:443 "GET /come_on_lovely_sisters/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:20,821 - Receive response from https://hentai2read.com/come_on_lovely_sisters/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:20,919 - Generate manga information
DEBUG 2021-09-04 00:41:20,920 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:22,357 - https://hentai2read.com:443 "GET /slithering_pleasure/ HTTP/1.1" 200 None
